央视频道,#genre#
CCTV-1 综合,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003864351.m3u8
CCTV-2 财经,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870745.m3u8
CCTV-3 综艺,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870746.m3u8
CCTV-4 中文国际,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870747.m3u8
CCTV-5 体育,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870748.m3u8
CCTV-5+ 体育赛事,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870759.m3u8
CCTV-6 电影,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870749.m3u8
CCTV-7 国防军事,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870750.m3u8
CCTV-8 电视剧,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870838.m3u8
CCTV-9 纪录,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870752.m3u8
CCTV-10 科教,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870753.m3u8
CCTV-11 戏曲,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870754.m3u8
CCTV-12 社会与法,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870755.m3u8
CCTV-13 新闻,http://home.kuaidi521.com:35455/bptv/10000100000000050000000004796248.m3u8
CCTV-14 少儿,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870756.m3u8
CCTV-15 音乐,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870757.m3u8
CCTV-16 奥林匹克,http://home.kuaidi521.com:35455/bptv/10000100000000050000000004972604.m3u8
CCTV-17 农业农村,http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870758.m3u8
CCTV-4 中文国际 欧洲,https://migu1.188766.xyz/?migutoken=66f944bdac40d0e6f77876e07086eaa3&id=CCTV4%E6%AC%A7%E6%B4%B2&type=yy
CCTV-4 中文国际 美洲,https://migu1.188766.xyz/?migutoken=4ebebb8eabf4cb126e20ab91b2c2bac2&id=CCTV4%E7%BE%8E%E6%B4%B2&type=yy
卫视频道,#genre#
